Proteome ID	Organism	Organism ID	Taxonomic lineage
UP000002051	Medicago truncatula (Barrel medic) (Medicago tribuloides) (Strain: cv. Jemalong A17)	3880	"Eukaryota, Viridiplantae, Streptophyta, Embryophyta, Tracheophyta, Spermatophyta, Magnoliopsida, eudicotyledons, Gunneridae, Pentapetalae, rosids, fabids, Fabales, Fabaceae, Papilionoideae, 50 kb inversion clade, NPAAA clade, Hologalegina, IRL clade, Trifolieae, Medicago"
UP000265566	Medicago truncatula (Barrel medic) (Medicago tribuloides) (Strain: cv. Jemalong A17)	3880	"Eukaryota, Viridiplantae, Streptophyta, Embryophyta, Tracheophyta, Spermatophyta, Magnoliopsida, eudicotyledons, Gunneridae, Pentapetalae, rosids, fabids, Fabales, Fabaceae, Papilionoideae, 50 kb inversion clade, NPAAA clade, Hologalegina, IRL clade, Trifolieae, Medicago"
UP000000589	Mus musculus (Mouse) (Strain: C57BL/6J)	10090	"Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Mammalia, Eutheria, Euarchontoglires, Glires, Rodentia, Myomorpha, Muroidea, Muridae, Murinae, Mus, Mus"
UP000001805	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) (Strain: ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	"Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Sordariomycetidae, Sordariales, Sordariaceae, Neurospora"
UP000002494	Rattus norvegicus (Rat) (Strain: Brown Norway)	10116	"Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Mammalia, Eutheria, Euarchontoglires, Glires, Rodentia, Myomorpha, Muroidea, Muridae, Murinae, Rattus"
UP000234681	Rattus norvegicus (Rat) (Strain: BN; Sprague-Dawley)	10116	"Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Mammalia, Eutheria, Euarchontoglires, Glires, Rodentia, Myomorpha, Muroidea, Muridae, Murinae, Rattus"
UP000002311	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast) (Strain: ATCC 204508 / S288c)	559292	"Eukaryota, Fungi, Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Saccharomyces"
UP000002485	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast) (Strain: 972 / ATCC 24843)	284812	"Eukaryota, Fungi, Dikarya, Ascomycota, Taphrinomycotina, Schizosaccharomycetes, Schizosaccharomycetales, Schizosaccharomycetaceae, Schizosaccharomyces"
UP000009168	Tetrahymena thermophila (strain SB210) (Strain: SB210)	312017	"Eukaryota, Sar, Alveolata, Ciliophora, Intramacronucleata, Oligohymenophorea, Hymenostomatida, Tetrahymenina, Tetrahymenidae, Tetrahymena"
UP000242602	Tetrahymena thermophila (strain SB210) (Strain: SB210)	312017	"Eukaryota, Sar, Alveolata, Ciliophora, Intramacronucleata, Oligohymenophorea, Hymenostomatida, Tetrahymenina, Tetrahymenidae, Tetrahymena"
UP000008143	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis) (Strain: Nigerian)	8364	"Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Amphibia, Batrachia, Anura, Pipoidea, Pipidae, Xenopodinae, Xenopus, Silurana"
UP000007305	Zea mays (Maize) (Strain: cv. B73)	4577	"Eukaryota, Viridiplantae, Streptophyta, Embryophyta, Tracheophyta, Spermatophyta, Magnoliopsida, Liliopsida, Poales, Poaceae, PACMAD clade, Panicoideae, Andropogonodae, Andropogoneae, Tripsacinae, Zea"
UP000251960	Zea mays (Maize) (Strain: cv. Missouri 17)	4577	"Eukaryota, Viridiplantae, Streptophyta, Embryophyta, Tracheophyta, Spermatophyta, Magnoliopsida, Liliopsida, Poales, Poaceae, PACMAD clade, Panicoideae, Andropogonodae, Andropogoneae, Tripsacinae, Zea"
UP000001303	Zinderia insecticola (strain CARI) (Strain: CARI)	871271	"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Candidatus Zinderia"
